"task","group","seed","n_evals","step0","auc","at5k","at10k","at15k","at20k","pre","end","t80","late"
"square","fixalpha_03","3","16","0.52","0.443904448105437","0.32","0.29","0.26","0.4","0.4","0.6","NaN","0.5"
"square","fixalpha_03","4","16","0.46","0.409116262650035","0.37","0.3","0.41","0.52","0.325","0.515","NaN","0.42"
"square","fixalpha_03","5","16","0.44","0.413719698752648","0.29","0.29","0.28","0.46","0.495","0.3","NaN","0.3975"
"square","iql","1","16","0.51","0.439686985172982","0.34","0.47","0.42","0.3","0.565","0.535","NaN","0.55"
"square","iql","2","16","0.46","0.427421746293246","0.42","0.53","0.46","0.41","0.38","0.565","NaN","0.4725"
"square","iql","3","16","0.45","0.442467639444575","0.44","0.51","0.39","0.51","0.485","0.585","NaN","0.535"
"square","mix_prefill","1","16","0.54","0.416759237467639","0.19","0.06","0.1","0.43","0.675","0.59","NaN","0.6325"
"square","mix_prefill","2","16","0.54","0.400369498705578","0.33","0.02","0.19","0.33","0.555","0.605","NaN","0.58"
"square","mix_prefill","3","16","0.46","0.47992704165686","0.39","0.01","0.14","0.28","0.65","0.67","NaN","0.66"
"square","tent12","1","16","0.43","0.480828430218875","0.36","0.4","0.57","0.57","0.425","0.345","NaN","0.385"
"square","tent12","2","16","0.52","0.37670393033655","0.24","0.35","0.42","0.42","0.24","0.455","NaN","0.3475"
"square","tent12","3","16","0.53","0.425708401976936","0.42","0.47","0.38","0.55","0.345","0.39","NaN","0.3675"
"square","tent12","4","16","0.46","0.372761826312073","0.45","0.4","0.36","0.51","0.3","0.32","NaN","0.31"
"square","tent12","5","16","0.39","0.365984937632384","0.3","0.4","0.33","0.33","0.37","0.335","NaN","0.3525"
"square","tent12_hq","1","16","0.5","0.352983054836432","0.36","0.42","0.32","0.27","0.37","0.445","NaN","0.4075"
"square","tent12_hq","2","16","0.53","0.378047775947282","0.34","0.33","0.32","0.46","0.47","0.51","NaN","0.49"
"square","tent12_hq","3","16","0.53","0.402781831019063","0.35","0.24","0.22","0.4","0.47","0.515","NaN","0.4925"
"square","tent12i","1","16","0.47","0.455267121675688","0.46","0.31","0.54","0.44","0.475","0.455","NaN","0.465"
"square","tent12i","2","16","0.5","0.491969875264768","0.29","0.52","0.71","0.52","0.43","0.475","NaN","0.4525"
"square","tent12i","3","16","0.4","0.461528594963521","0.42","0.34","0.44","0.5","0.43","0.525","NaN","0.4775"
"square","tent12i_cap03","1","16","0.47","0.484328077194634","0.31","0.21","0.49","0.48","0.55","0.43","NaN","0.49"
"square","tent12i_cap03","2","16","0.41","0.488453753824429","0.35","0.36","0.33","0.58","0.51","0.655","NaN","0.5825"
"square","tent12i_cap03","3","16","0.52","0.496022593551424","0.35","0.43","0.51","0.53","0.625","0.48","NaN","0.5525"
"square","tent12i_cap1","1","16","0.49","0.495506001412097","0.33","0.54","0.44","0.61","0.305","0.235","NaN","0.27"
"square","tent12i_cap1","2","16","0.48","0.417292304071546","0.22","0.22","0.33","0.46","0.41","0.285","NaN","0.3475"
"square","tent12i_cap1","3","16","0.43","0.442668863261944","0.31","0.27","0.4","0.4","0.22","0.2","NaN","0.21"
"square","tent12i_rs02","1","16","0.53","0.417771240291833","0.3","0.44","0.42","0.55","0.385","0.35","NaN","0.3675"
"square","tent12i_rs02","2","16","0.45","0.365708401976936","0.3","0.36","0.45","0.44","0.395","0.38","NaN","0.3875"
"square","tent12i_rs02","3","16","0.47","0.379483407860673","0.45","0.31","0.5","0.39","0.335","0.345","NaN","0.34"
"square","tent6","1","16","0.48","0.397071075547188","0.48","0.29","0.27","0.35","0.335","0.39","NaN","0.3625"
"square","tent6","2","16","0.43","0.366168510237703","0.18","0.25","0.44","0.55","0.295","0.2","NaN","0.2475"
"square","tent6","3","16","0.58","0.370441280301247","0.28","0.29","0.31","0.41","0.27","0.285","NaN","0.2775"
