bin_online,ent_coef,logp_mean,qw_mean,w_absmean,mu_absmean,w_frac_sat,log_std_mean,offline_p,run,task,group,seed,entropy_estimate,ratio_ge_gq,gq_norm
0,0.18396941996179517,-10.284216165542603,58.06960105895996,0.5590010285377502,0.464620279148221,0.149972103536129,-0.27171971648931503,0.0,can_alr_double_s1,can,alr_double,1,10.284216165542603,,
5000,0.07463964121416208,2.266040898859501,2.488060235977173,0.6195169985294342,0.831988513469696,0.2304338812828064,-0.4702276885509491,0.0,can_alr_double_s1,can,alr_double,1,-2.266040898859501,,
10000,0.08906994098797436,0.58223657310009,-19.23766279220581,0.6108909845352173,0.7918404638767242,0.2150181457400322,-0.45069604367017746,0.0,can_alr_double_s1,can,alr_double,1,-0.58223657310009,,
15000,0.08353314995765683,0.2514927461743355,-22.374525547027588,0.619249016046524,0.8129525035619736,0.2303990051150322,-0.4037396013736725,0.0,can_alr_double_s1,can,alr_double,1,-0.2514927461743355,,
20000,0.0739418441429734,0.7721310257911681,-19.2675724029541,0.6233257204294205,0.8096535801887512,0.2378627322614193,-0.4034925997257232,0.0,can_alr_double_s1,can,alr_double,1,-0.7721310257911681,,
25000,0.06675907848402853,0.649471590295434,-18.841667652130127,0.6229926198720932,0.8126765042543411,0.2336774654686451,-0.40132770687341685,0.0,can_alr_double_s1,can,alr_double,1,-0.649471590295434,,
30000,0.06225703373551363,0.06269432902336122,-19.93550796508789,0.6216992259025573,0.802285659313202,0.23217076659202576,-0.39641098976135253,0.0,can_alr_double_s1,can,alr_double,1,-0.06269432902336122,,
35000,0.059186466643586726,0.11032769083976746,-22.50015926361084,0.617488294839859,0.8054526299238205,0.2261788621544838,-0.4059607610106468,0.0,can_alr_double_s1,can,alr_double,1,-0.11032769083976746,,
40000,0.0546797492075711,0.1239019874483347,-24.740605354309082,0.620727151632309,0.801594153046608,0.2367466650903225,-0.3893059939146042,0.0,can_alr_double_s1,can,alr_double,1,-0.1239019874483347,,
45000,0.05201739738695318,0.012693077325820958,-26.528028964996338,0.6216555088758469,0.7982609272003174,0.2307826578617096,-0.38432061672210693,0.0,can_alr_double_s1,can,alr_double,1,-0.012693077325820958,,
50000,0.0513835121877491,-0.1726282835006714,-28.303146839141846,0.6215495616197586,0.7920776903629303,0.2321777455508709,-0.39158182591199875,0.0,can_alr_double_s1,can,alr_double,1,0.1726282835006714,,
55000,0.049579392652958576,0.044678401201963404,-30.228008270263672,0.6198963820934296,0.7952723503112793,0.2284458838403225,-0.3924130499362945,0.0,can_alr_double_s1,can,alr_double,1,-0.044678401201963404,,
60000,0.04802011057734486,-0.6549106121063233,-29.506957626342775,0.6166972756385803,0.7856938004493713,0.22449777722358705,-0.39380895495414736,0.0,can_alr_double_s1,can,alr_double,1,0.6549106121063233,,
65000,0.04862731611356135,-0.4222414717078209,-30.20830488204956,0.6188218891620636,0.7925624251365662,0.2280622310936451,-0.3966594710946083,0.0,can_alr_double_s1,can,alr_double,1,0.4222414717078209,,
70000,0.04850649749860165,0.011930452659726143,-30.7235164642334,0.6177014857530594,0.7891304343938828,0.2249581590294838,-0.4167598560452461,0.0,can_alr_double_s1,can,alr_double,1,-0.011930452659726143,,
75000,0.045654561044648254,0.1074352115392685,-30.901686191558838,0.6182775348424911,0.7967916578054428,0.2296317033469677,-0.40773146599531174,0.0,can_alr_double_s1,can,alr_double,1,-0.1074352115392685,,
80000,0.04530622148886317,-0.1412021853029728,-32.20141649246216,0.6195318102836609,0.78990338742733,0.2279924750328064,-0.4007739201188087,0.0,can_alr_double_s1,can,alr_double,1,0.1412021853029728,,
85000,0.04473796645179387,-0.15655728429555893,-30.80250310897827,0.6185483783483505,0.7992695271968842,0.2300153523683548,-0.40604234486818314,0.0,can_alr_double_s1,can,alr_double,1,0.15655728429555893,,
90000,0.044349520504474584,0.1202285885810852,-32.792056274414065,0.6224747061729431,0.7989334106445313,0.2322544723749161,-0.4128019571304321,0.0,can_alr_double_s1,can,alr_double,1,-0.1202285885810852,,
95000,0.0433582774829119,-0.47595617920160294,-29.450262546539307,0.6199073046445847,0.7817958891391754,0.2281319834291935,-0.3985123112797737,0.0,can_alr_double_s1,can,alr_double,1,0.47595617920160294,,
100000,0.04431118792854245,0.10132774896919725,-32.237102031707764,0.6243467479944229,0.7962736636400223,0.2338867262005806,-0.3968512564897537,0.0,can_alr_double_s1,can,alr_double,1,-0.10132774896919725,,
105000,0.044293324323371,-0.6589280590415001,-30.490568161010742,0.6165932565927505,0.7736848890781403,0.2225167527794838,-0.4066456854343414,0.0,can_alr_double_s1,can,alr_double,1,0.6589280590415001,,
110000,0.04336856417357915,0.03716214001178743,-32.11653423309326,0.6228554546833038,0.7903691679239273,0.2291783019900322,-0.41030599921941757,0.0,can_alr_double_s1,can,alr_double,1,-0.03716214001178743,,
115000,0.04270972837693985,0.16395007818937302,-34.30699920654297,0.6221473664045334,0.7979336231946945,0.2321777455508709,-0.4122175946831703,0.0,can_alr_double_s1,can,alr_double,1,-0.16395007818937302,,
120000,0.04276220299303526,-0.26752022504806516,-33.011637115478514,0.6214475154876709,0.7879475474357605,0.22940849065780639,-0.40044100284576417,0.0,can_alr_double_s1,can,alr_double,1,0.26752022504806516,,
0,0.18744438085705037,-10.679200530052185,57.075379371643066,0.5624177306890488,0.46401333063840866,0.14613561145961285,-0.2685881294310093,0.0,can_alr_double_s2,can,alr_double,2,10.679200530052185,,
5000,0.06774611379951236,-0.19276035204529762,-3.7246672213077554,0.6115603744983673,0.7758637070655823,0.2188197635114193,-0.4268391281366348,0.0,can_alr_double_s2,can,alr_double,2,0.19276035204529762,,
10000,0.08758394764736291,1.363928645849228,-24.865756988525394,0.6165530830621719,0.8114476948976517,0.2255510725080967,-0.4549088478088379,0.0,can_alr_double_s2,can,alr_double,2,-1.363928645849228,,
15000,0.08390953196212647,-0.12271066755056374,-18.708473682403564,0.6118113249540329,0.7881372421979904,0.2166225016117096,-0.4271983429789543,0.0,can_alr_double_s2,can,alr_double,2,0.12271066755056374,,
20000,0.07766731185838575,0.11401432007551193,-15.11532711982727,0.6161988377571106,0.7984141111373901,0.2238072082400322,-0.40696632862091064,0.0,can_alr_double_s2,can,alr_double,2,-0.11401432007551193,,
25000,0.07746306871995326,0.28418681398034096,-13.671804428100586,0.6208950281143188,0.8044752478599548,0.2338169775903225,-0.39810430258512497,0.0,can_alr_double_s2,can,alr_double,2,-0.28418681398034096,,
