task,treatment,comparator,metric,n,seeds,delta,delta_se,positive_n,negative_n,per_seed_deltas
can,calql,iql,at10k,3,"1,2,3",-0.06333333333333331,0.22153504864417686,1,2,"{""1"": -0.19999999999999998, ""2"": 0.3700000000000001, ""3"": -0.36000000000000004}"
can,calql,iql,mean_deficit_pi_dp,3,"1,2,3",0.023955489076027445,0.007737543059861272,3,0,"{""1"": 0.03817582357674652, ""2"": 0.011558992018952665, ""3"": 0.022131651632383145}"
can,calql,cql,auc_early,3,"1,2,3",-0.045548887485084566,0.02818965277389856,1,2,"{""1"": -0.08831754053484941, ""2"": -0.055978100652769036, ""3"": 0.007648978732364753}"
can,calql,cql,endpoint,3,"1,2,3",-0.06500000000000004,0.07,1,2,"{""1"": -0.135, ""2"": 0.07499999999999996, ""3"": -0.13500000000000006}"
can,calql,cql,at10k,3,"1,2,3",-0.006666666666666626,0.05238744548500572,1,2,"{""1"": -0.01999999999999999, ""2"": 0.09000000000000008, ""3"": -0.08999999999999997}"
can,calql,cql,mean_deficit_pi_dp,3,"1,2,3",0.009500010540437994,0.009258094956907858,2,1,"{""1"": 0.02140250286976273, ""2"": 0.01583228886820623, ""3"": -0.008734760116654975}"
can,calql_t12i,calql,auc_early,3,"1,2,3",0.1840103179616761,0.031334193496952246,3,0,"{""1"": 0.16407770056854082, ""2"": 0.14252263634449364, ""3"": 0.24543061697199392}"
can,calql_t12i,calql,endpoint,3,"1,2,3",0.18166666666666664,0.06173419725817376,3,0,"{""1"": 0.20499999999999996, ""2"": 0.06500000000000006, ""3"": 0.27499999999999997}"
can,calql_t12i,calql,at10k,3,"1,2,3",0.17,0.15567059238447495,2,1,"{""1"": 0.3500000000000001, ""2"": -0.14000000000000012, ""3"": 0.3}"
can,calql_t12i,calql,mean_deficit_pi_dp,3,"1,2,3",-0.02748917739009447,0.006212687596809775,0,3,"{""1"": -0.03983456043170303, ""2"": -0.020097428982334183, ""3"": -0.022535542756246203}"
can,calql_t12i,tent12i,auc_early,3,"1,2,3",0.0211163753772724,0.014518789120605129,2,1,"{""1"": 0.0354748368077491, ""2"": 0.0357949041903558, ""3"": -0.0079206148662877}"
can,calql_t12i,tent12i,endpoint,3,"1,2,3",-0.005000000000000042,0.05507570547286106,2,1,"{""1"": 0.05500000000000005, ""2"": 0.04499999999999993, ""3"": -0.1150000000000001}"
can,calql_t12i,tent12i,at10k,3,"1,2,3",0.0566666666666667,0.0600925212577332,2,1,"{""1"": 0.09000000000000008, ""2"": 0.14000000000000007, ""3"": -0.06000000000000005}"
can,calql_t12i,tent12i,mean_deficit_pi_dp,3,"1,2,3",-0.004958559840150511,0.005534046754265698,1,2,"{""1"": -0.01592920369689562, ""2"": -0.0007423913546451657, ""3"": 0.0017959155310892521}"
can,calql_prefill,calql,auc_early,3,"1,2,3",0.22333017477363656,0.028716823036630253,3,0,"{""1"": 0.27913666034954726, ""2"": 0.20718256475047375, ""3"": 0.1836712992208886}"
can,calql_prefill,calql,endpoint,3,"1,2,3",0.25500000000000006,0.05251983752196243,3,0,"{""1"": 0.20500000000000007, ""2"": 0.20000000000000007, ""3"": 0.36000000000000004}"
can,calql_prefill,calql,at10k,3,"1,2,3",0.2866666666666666,0.1741965684060523,2,1,"{""1"": 0.49, ""2"": -0.06000000000000005, ""3"": 0.43}"
can,calql_prefill,calql,mean_deficit_pi_dp,3,"1,2,3",-0.023972202598887823,0.009911139405056056,0,3,"{""1"": -0.04287608918153941, ""2"": -0.01968498165944588, ""3"": -0.009355536955678173}"
can,calql_prefill,mix_prefill,auc_early,3,"1,2,3",-0.027064294237383286,0.03097483649940329,1,2,"{""1"": -0.008591282375236875, ""2"": 0.014908401768793489, ""3"": -0.08751000210570647}"
can,calql_prefill,mix_prefill,endpoint,3,"1,2,3",-0.09333333333333327,0.059605182474158865,1,2,"{""1"": -0.1649999999999998, ""2"": 0.025000000000000022, ""3"": -0.14}"
can,calql_prefill,mix_prefill,at10k,3,"1,2,3",0.5399999999999999,0.05033222956847162,3,0,"{""1"": 0.6399999999999999, ""2"": 0.48000000000000004, ""3"": 0.5}"
can,calql_prefill,mix_prefill,mean_deficit_pi_dp,3,"1,2,3",-0.019384221055698547,0.0033648006429203604,0,3,"{""1"": -0.024313655597702388, ""2"": -0.020887016408730266, ""3"": -0.012951991160662979}"
square,calql,iql,auc_early,3,"1,2,3",0.02082293873068175,0.03179962587113561,2,1,"{""1"": -0.03208048952694753, ""2"": 0.07784537538244302, ""3"": 0.016703930336549766}"
square,calql,iql,endpoint,3,"1,2,3",-0.14666666666666675,0.06287112037953342,0,3,"{""1"": -0.025000000000000022, ""2"": -0.23500000000000015, ""3"": -0.18000000000000005}"
square,calql,iql,at10k,3,"1,2,3",-0.09000000000000001,0.01732050807568879,0,3,"{""1"": -0.08999999999999997, ""2"": -0.12000000000000005, ""3"": -0.06}"
square,calql,iql,mean_deficit_pi_dp,3,"1,2,3",-0.01169090752730627,0.023065102543092412,1,2,"{""1"": 0.02992364901149918, ""2"": -0.0497367582152426, ""3"": -0.015259613378175392}"
square,calql,cql,auc_early,3,"1,2,3",-0.007470385188671824,0.017387322078005096,1,2,"{""1"": -0.03609555189456343, ""2"": 0.02394210402447644, ""3"": -0.010257707695928486}"
square,calql,cql,endpoint,3,"1,2,3",0.08333333333333333,0.08094922963053926,2,1,"{""1"": 0.20500000000000002, ""2"": 0.11499999999999991, ""3"": -0.06999999999999995}"
square,calql,cql,at10k,3,"1,2,3",0.040000000000000036,0.058594652770823145,2,1,"{""1"": 0.020000000000000018, ""2"": -0.04999999999999993, ""3"": 0.15000000000000002}"
square,calql,cql,mean_deficit_pi_dp,3,"1,2,3",-0.0017524171627067823,0.017575147861886263,1,2,"{""1"": 0.03161745462288556, ""2"": -0.02800271817458449, ""3"": -0.008871987936421417}"
square,calql,td,auc_early,3,"1,2,3",-0.03511924374362598,0.047403705918723664,1,2,"{""1"": -0.11239350435396567, ""2"": 0.05108731466227351, ""3"": -0.04405154153918578}"
square,calql,td,endpoint,3,"1,2,3",-0.006666666666666672,0.03218867985971325,2,1,"{""1"": 0.015000000000000013, ""2"": 0.03499999999999992, ""3"": -0.06999999999999995}"
square,calql,td,at10k,3,"1,2,3",-0.043333333333333314,0.029059326290271168,1,2,"{""1"": 0.010000000000000009, ""2"": -0.04999999999999993, ""3"": -0.09000000000000002}"
square,calql,td,mean_deficit_pi_dp,3,"1,2,3",0.01853491076887818,0.03435638267088088,2,1,"{""1"": 0.07968723545380646, ""2"": -0.03917753687400699, ""3"": 0.015095033726835076}"
square,tent12_hq,tent12,auc_early,3,"1,2,3",-0.04980936690986113,0.03964205361251715,1,2,"{""1"": -0.127845375382443, ""2"": 0.0013438456107320307, ""3"": -0.022926570957872427}"
square,tent12_hq,tent12,endpoint,3,"1,2,3",0.09333333333333334,0.020480342879074184,3,0,"{""1"": 0.10000000000000003, ""2"": 0.05499999999999999, ""3"": 0.125}"
square,tent12_hq,tent12,at10k,3,"1,2,3",-0.0766666666666667,0.07753135566408668,1,2,"{""1"": 0.01999999999999985, ""2"": -0.019999999999999962, ""3"": -0.22999999999999998}"
square,tent12_hq,tent12,mean_deficit_pi_dp,3,"1,2,3",0.04114513135441184,0.03041027011120317,2,1,"{""1"": 0.09966038394067547, ""2"": -0.0024765993585345453, ""3"": 0.026251609481094604}"
square,tent12_hq,iql,auc_early,3,"1,2,3",-0.05858790303600845,0.014333508104238517,0,3,"{""1"": -0.08670393033654983, ""2"": -0.049373970345963636, ""3"": -0.03968580842551189}"
square,tent12_hq,iql,endpoint,3,"1,2,3",-0.07166666666666671,0.010137937550497026,0,3,"{""1"": -0.09000000000000002, ""2"": -0.05500000000000005, ""3"": -0.07000000000000006}"
square,tent12_hq,iql,at10k,3,"1,2,3",-0.17333333333333337,0.06489307444643927,0,3,"{""1"": -0.0500000000000001, ""2"": -0.2, ""3"": -0.27}"
square,tent12_hq,iql,mean_deficit_pi_dp,3,"1,2,3",0.05781469419961242,0.011945207705860392,3,0,"{""1"": 0.08154710102822016, ""2"": 0.04832411933361505, ""3"": 0.04357286223700204}"
square,tent12_hq,mix_prefill,auc_early,3,"1,2,3",-0.054414372009100175,0.016503901855941024,0,3,"{""1"": -0.06377618263120732, ""2"": -0.022321722758296025, ""3"": -0.07714521063779717}"
square,tent12_hq,mix_prefill,endpoint,3,"1,2,3",-0.13166666666666665,0.01855921454276669,0,3,"{""1"": -0.14499999999999996, ""2"": -0.09500000000000008, ""3"": -0.15499999999999992}"
square,tent12_hq,mix_prefill,at10k,3,"1,2,3",0.3,0.0378593889720018,3,0,"{""1"": 0.3599999999999999, ""2"": 0.31, ""3"": 0.22999999999999998}"
square,tent12_hq,mix_prefill,mean_deficit_pi_dp,3,"1,2,3",0.012247772890747776,0.014925667489912722,2,1,"{""1"": 0.04125602994738313, ""2"": -0.008356963554854574, ""3"": 0.0038442522797147716}"
